"nom","annref","canton","canton_mod","canton_lib","ra_3010_dim2","ra_3010_dim2_mod","ra_3010_dim2_lib","ra_3010_dim3","ra_3010_dim3_mod","ra_3010_dim3_lib","n118","n118_mod","n118_lib","n027","n027_mod","n027_lib","valeur","qualite"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",2,"total vaches","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",NA,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",4,"vaches allaitantes","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",609,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",4,"vaches allaitantes","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",NA,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",4,"vaches allaitantes","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",NA,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",5,"bovins d'un an ou plus","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",66,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",5,"bovins d'un an ou plus","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",NA,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",5,"bovins d'un an ou plus","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",NA,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",6,"bovins de moins d'un an","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",304,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",6,"bovins de moins d'un an","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",83,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",6,"bovins de moins d'un an","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",221,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",7,"total equides","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",58,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",7,"total equides","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",38,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",7,"total equides","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",20,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",8,"chevres","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",1001,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",8,"chevres","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",NA,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",8,"chevres","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",NA,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",9,"brebis nourrices","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",NA,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",9,"brebis nourrices","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",NA,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",9,"brebis nourrices","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",NA,"non"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",10,"brebis laitieres","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",3175,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",10,"brebis laitieres","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",243,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",10,"brebis laitieres","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",2932,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",11,"total porcins","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",NA,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",11,"total porcins","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",NA,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",11,"total porcins","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",NA,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",12,"truies reproductrices de 50 kg ou plus","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",216,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",12,"truies reproductrices de 50 kg ou plus","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",52,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",12,"truies reproductrices de 50 kg ou plus","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",164,"oui"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",13,"poulets de chair et coq","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",NA,"non"
"ra_3010",2010,"canton","2a06","celavo-mezzana","cheptel",13,"poulets de chair et coq","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",NA,"non"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",1,"total bovins","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",244,"oui"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",1,"total bovins","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",NA,"non"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",1,"total bovins","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",NA,"oui"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",2,"total vaches","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",132,"oui"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",2,"total vaches","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",NA,"non"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",2,"total vaches","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",NA,"oui"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",4,"vaches allaitantes","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",132,"oui"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",4,"vaches allaitantes","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",NA,"non"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",4,"vaches allaitantes","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",NA,"oui"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",5,"bovins d'un an ou plus","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",33,"oui"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",5,"bovins d'un an ou plus","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",NA,"non"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",5,"bovins d'un an ou plus","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",NA,"oui"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",6,"bovins de moins d'un an","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",79,"oui"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",6,"bovins de moins d'un an","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",NA,"non"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",6,"bovins de moins d'un an","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",NA,"oui"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",7,"total equides","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",41,"oui"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",7,"total equides","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",NA,"non"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",7,"total equides","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",NA,"non"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",8,"chevres","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",NA,"oui"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",8,"chevres","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",NA,"non"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",8,"chevres","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",NA,"oui"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",10,"brebis laitieres","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",NA,"oui"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",10,"brebis laitieres","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",NA,"oui"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",11,"total porcins","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",NA,"non"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",11,"total porcins","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",NA,"non"
"ra_3010",2010,"canton","2a07","bonifacio","cheptel",12,"truies reproductrices de 50 kg ou plus","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",NA,"non"
